record_id,location_id,name,location_address,type,lights,courts,winter_play,club_name,club_website,longitude,latitude
117,733,Prairie Drive Park,101 Pharmacy Ave,Public,Yes,3,Not indicated,NA,NA,-79.2841183812,43.6971138504
118,924,Prince of Wales Park,1 Third St,Public,Yes,4,Not indicated,NA,NA,-79.4987828571,43.5988411312
119,951,Princess Anne Park,25 A Princess Margaret Blvd,Public,No,2,Not indicated,NA,NA,-79.5397461835,43.6732653522
120,861,Queensway Park,8 Avon Park Dr,Public,No,2,Not indicated,NA,NA,-79.5064037093,43.6272622573
121,167,Ramsden Park,1020 Yonge St,Public,No,12,Yes,NA,NA,-79.3930150445,43.6764157172
122,181,Rennie Park,1 Rennie Terr,Club,Yes,4,Not indicated,The Swansea Tennis Club,http://www.swanseatennis.com,-79.4722488073,43.6425865388
123,343,Riverdale Park East,550 Broadview Ave,Public,No,7,Yes,NA,NA,-79.3557408692,43.6700504666
124,742,Rockford Park,70 Rockford Rd,Public,No,2,Not indicated,NA,NA,-79.4539759017,43.786447041
125,210,Rosedale Park,20 Scholfield Ave,Club,No,8,Not indicated,The Rosedale Tennis Club,http://www.rosedaletennis.com,-79.3789306778,43.6827794649
126,987,Rosethorn Park,26 Remington Dr,Club,Yes,3,Not indicated,The Rosethorn Tennis Club,https://www.rosethorntennisclub.com/,-79.5391261116,43.6584426506
127,867,Rotary Peace Park,25 Eleventh St,Public,No,2,Yes,NA,NA,-79.5068692837,43.5947627637
128,878,Royal Crest Park,50 Cabernet Cir,Public,Yes,3,Not indicated,NA,NA,-79.6052923472,43.7527913227
129,347,Roywood Park,2 Roywood Dr,Public,Yes,4,Yes,NA,NA,-79.3207956529,43.7645460279
130,747,Ruddington Park,75 Ruddington Dr,Public,Yes,3,Not indicated,NA,NA,-79.3892434185,43.7922885516
131,235,Runnymede Park,221 Ryding Ave,Public,No,2,Yes,NA,NA,-79.4785521342,43.6682913596
132,1748,Scarboro Crescent Park,61 Undercliff Dr,Club,Yes,4,Yes,Scarborough Bluffs Tennis Club,http://www.sbtennis.org,-79.2418181671,43.7038058727
133,1471,Scarlett Mills Park,235 Edenbridge Dr,Club,Yes,4,Not indicated,Edenbridge Tennis Club,https://edenbridgetennis.com/,-79.5106471991,43.675747482
134,748,Seneca Hill Park,620 Seneca Hill Dr,Club,Yes,4,Not indicated,Seneca Hill Tennis Club,https://senecahilltennisclub.com/,-79.3517317119,43.7915047411
135,752,Sentinel Park,295 Sentinel Rd,Public,No,2,Yes,NA,NA,-79.4985517251,43.7552003414
136,590,Seven Oaks Park,372 Military Trl,Club,Yes,3,Not indicated,Seven Oaks Tennis Club,NA,-79.2105842681,43.7882509494
137,2595,Shawnee Park,81 Shawnee Cir,Public,No,4,Yes,NA,NA,-79.3383512436,43.797043156
138,877,Silver Creek Park,44 Strathdee Dr.,Club,Yes,3,Yes,Silver Creek Seniors Tennis Club,NA,-79.5434038267,43.6827011213
139,2065,Sir Adam Beck Park,55 Eltham Dr,Public,Yes,2,Not indicated,NA,NA,-79.5475491068,43.602121408
140,200,Sir Winston Churchill Park,301 St. Clair Ave W,Club,Yes,7,Not indicated,Sir Winston Churchill Tennis Club,http://www.winstonchurchilltennis.ca,-79.408860746,43.6828812958
141,348,Sorauren Avenue Park,289 Sorauren Ave,Public,No,2,Yes,NA,NA,-79.443067482,43.6486487345
142,3693,Stanley Greene Park,55 Stanley Greene Blvd.,Public,Yes,2,Not indicated,NA,NA,-79.4773371246,43.7344958725
143,761,Stanley Park,27 Stanley Rd.,Public,No,3,Yes,NA,NA,-79.515406362,43.7419026899
144,2750,Stanley Park South - Toronto,700 Wellington St W,Public,No,2,Not indicated,NA,NA,-79.4089348293,43.6419107656
145,2034,Stephen Leacock Park,2530 Birchmount Rd,Club,Yes,4,Not indicated,Stephen Leacock Tennis Club,http://www.stephenleacock-tennis.ca,-79.3024857029,43.7872164775
146,762,Strathburn Park,55 Strathburn Blvd,Public,Yes,2,Not indicated,NA,NA,-79.5327912218,43.7221408633
147,870,Summerlea Park,2 Arcot Blvd,Public,Yes,2,Not indicated,NA,NA,-79.5485540204,43.7306176054
148,871,Sunnydale Acres Park,50 Amoro Dr,Public,Yes,4,Not indicated,NA,NA,-79.5785252771,43.7240965942
149,1021,Sunnylea Park,195 Prince Edward Dr S,Public,Yes,2,Yes,NA,NA,-79.5016309529,43.6415571047
150,763,Sweeney Park,110 Sweeney Dr,Public,Yes,3,Not indicated,NA,NA,-79.316011738,43.7362132992
151,216,Symington Avenue Playground,431 Perth Ave,Public,No,2,Yes,NA,NA,-79.4522856811,43.6667061047
152,2154,Tam Heather Country Club Grounds,50 Bonspiel Dr,Club,Yes,4,Not indicated,NA,NA,-79.1977789209999,43.7914613609999
153,543,Thomson Memorial Park,1005 Brimley Rd,Club,Yes,3,Not indicated,Thomson Park Tennis Club,NA,-79.2533708865,43.7575786177
154,764,Three Valleys Park,82 Three Valleys Dr,Club,Yes,2,Not indicated,Parkway Valley Tennis Club,http://www.pvtc.ca,-79.3394444969,43.7505973363
155,837,Tom Riley Park,4725 Dundas St. W,Club,Yes,3,Yes,Central Tennis Club,http://www.centraltennisclub.com,-79.5217785888,43.6484570523
156,276,Topham Park,181 Westview Blvd.,Public,Yes,2,Yes,NA,NA,-79.3065172647,43.7100225274
157,766,Tournament Park,40 Tournament Dr,Club,Yes,4,Not indicated,Tournament Park Tennis Club,http://www.tournamentpark.com,-79.3996976275,43.7515342315
158,934,Trace Manes Park,110 Rumsey Rd,Club,Yes,6,Not indicated,Leaside Tennis Club,http://www.leasidetennis.org,-79.3674495146,43.705570191
159,241,Trinity Bellwoods Park,790 Queen St W,Public,No,8,Yes,NA,NA,-79.4143036054,43.6477934801
160,772,Viewmount Park,169 Viewmount Ave,Club,Yes,4,Not indicated,Viewmount Park Tennis Club,https://viewmount.ca,-79.4374593876,43.7070287033
161,265,Wanless Park,250 Wanless Ave,Club,Yes,5,Not indicated,Wanless Park Tennis Club,http://www.wanlesstennis.com,-79.3920573305,43.728932197
162,773,Wedgewood Park - Etobicoke,15 Swan Ave,Public,Yes,1,Not indicated,NA,NA,-79.547517477,43.6444634749
163,2673,Wedgewood Park - North York,145 Wedgewood Dr,Public,No,2,Yes,NA,NA,-79.4063113799,43.7905113086
164,873,West Deane Park,400 Martin Grove Road,Club,Yes,4,Not indicated,Martingrove Tennis Club,http://www.martingrovetennis.com,-79.5634940078,43.6639989632
165,754,West Rouge Park,270 Rouge Hills Dr,Club,Yes,3,Not indicated,West Rouge Tennis Club,https://wrtctennis.com/,-79.1254637314,43.7915901903
166,876,Westgrove Park,15 Redgrave Dr,Public,Yes,2,Not indicated,NA,NA,-79.5676612134,43.6818208024
167,2006,Westmount Park,22 Arcade Dr,Public,Yes,3,Yes,NA,NA,-79.5188097181,43.687305663
168,508,Weston Lions Park,2125 Lawrence Ave W,Club,Yes,4,Not indicated,York Weston Lions Tennis Club,http://www.ywtc.ca,-79.5180978282,43.6985583795
169,874,Westway Park,175 The Westway,Public,Yes,4,Not indicated,NA,NA,-79.5415217577,43.6877692708
170,865,Willowdale Park,75 Hollywood Ave,Club,Yes,4,Not indicated,North York Tennis Club,http://www.nytc.ca,-79.407279077,43.7663856008
171,586,Wishing Well Park,1700 Pharmacy Ave,Club,Yes,3,Not indicated,Wishing Well Tennis Club,http://www.wwtc.sprinterweb.net,-79.3166203898,43.7698684436
172,306,Withrow Park and Clubhouse,725 Logan Ave,Public,No,2,Yes,NA,NA,-79.3469330614,43.6744320603
173,1476,York Mills Valley Park,3865 Yonge St,Club,Yes,5,Not indicated,Valley Tennis Club,http://www.valleytennisclub.com,-79.4053132032,43.7404834459
