X_id,ID,Name,Type,Lights,Courts,Phone,ClubName,ClubWebsite,ClubInfo,LocationAddress,WinterPlay,geometry
1,2341,Agincourt Park,Club,Yes,4,311,Agincourt Tennis Club,http://www.agincourttennisclub.ca,,27  Glen Watford Dr ,,"{""coordinates"": [[-79.2749181798, 43.7882598434]], ""type"": ""MultiPoint""}"
2,1044,Alamosa Park,Club,No,3,416-496-0225,Bridlebrook Tennis Club,http://www.nyta.org,,111  Alamosa Dr ,,"{""coordinates"": [[-79.3695581505, 43.7810883366]], ""type"": ""MultiPoint""}"
3,923,Albion Gardens Park,Public,Yes,3,311,,,,41  Deanlea Crt ,,"{""coordinates"": [[-79.5589172181, 43.7396441768]], ""type"": ""MultiPoint""}"
4,484,Amesbury Park,Public,No,2,311,,,,151 Culford Rd ,Yes,"{""coordinates"": [[-79.4834224962, 43.7061864958]], ""type"": ""MultiPoint""}"
5,491,Ancaster Park,Public,No,3,311,,,,43  Ancaster Rd ,,"{""coordinates"": [[-79.4655052281, 43.7334252351]], ""type"": ""MultiPoint""}"
6,582,Angela James Arena & Tennis Courts,Public,Yes,4,416-395-7838,,,,165 Grenoble Dr ,,"{""coordinates"": [[-79.3276349852, 43.713147965]], ""type"": ""MultiPoint""}"
7,42,Antibes Community Centre,Public,No,1,416-395-0096,,,,140 Antibes Dr ,Yes,"{""coordinates"": [[-79.4469957603, 43.7811383787]], ""type"": ""MultiPoint""}"
8,2113,Banbury Park,Club,Yes,4,416-443- 0941,Banbury Tennis Club,http://www.banburytennisclub.net,,120  Banbury Rd ,,"{""coordinates"": [[-79.3698734894, 43.7427740036]], ""type"": ""MultiPoint""}"
9,513,Baycrest Park,Public,Yes,2,311,,,,160  Neptune Dr ,Yes,"{""coordinates"": [[-79.4453131544, 43.7271773569]], ""type"": ""MultiPoint""}"
10,517,Bayview Village Park,Public,No,3,311,,,,2945  Bayview Ave ,,"{""coordinates"": [[-79.3872627373, 43.7730254747]], ""type"": ""MultiPoint""}"
11,219,Beaches Park,Club,Yes,10,416-699-1635,Kew Gardens Tennis Club,http://www.kewgardenstennis.ca,,2075 Queen St E,,"{""coordinates"": [[-79.2985090973, 43.6661298729]], ""type"": ""MultiPoint""}"
12,826,Beaumonde Heights Park,Public,No,3,311,,,,17 A Waltham Dr ,,"{""coordinates"": [[-79.5744937229, 43.740813307]], ""type"": ""MultiPoint""}"
13,518,Bellbury Park,Club,Yes,5,416-806-0654,Bellbury Tennis Club,http://www.bellburytennisclub.com,,55  Van Horne Ave. ,,"{""coordinates"": [[-79.3613025515, 43.7836678733]], ""type"": ""MultiPoint""}"
14,1025,Bennington Heights Park,Club,Yes,2,311,Bennington Heights Tennis Club,http://www.benningtonheightstennis.org,,465  Heath St E,,"{""coordinates"": [[-79.3695658694, 43.6950046581]], ""type"": ""MultiPoint""}"
15,521,Bestview Park,Public,Yes,3,311,,,,115  Bestview Dr ,Yes,"{""coordinates"": [[-79.383611575, 43.8025870812]], ""type"": ""MultiPoint""}"
16,827,Birch Park,Public,Yes,2,311,,,,75  Arcadian Cir ,Yes,"{""coordinates"": [[-79.527418583, 43.5916807547]], ""type"": ""MultiPoint""}"
17,2795,Bloordale Park South,Public,No,2,311,,,,230 Renforth Dr ,,"{""coordinates"": [[-79.5702503041, 43.6367217868]], ""type"": ""MultiPoint""}"
18,465,Bond Park,Club,Yes,6,416 444-7311,"Nyta Winter Tennis Club,The Don Mills Tennis Club","http://www.nywintertennisclub.com,http://www.donmillstennisclub.com",,120  Bond Ave ,,"{""coordinates"": [[-79.3512499027, 43.7464153718]], ""type"": ""MultiPoint""}"
19,560,Botany Hill Park,Club,Yes,4,311,Botany Hill Park,,,277  Orton Park Rd ,,"{""coordinates"": [[-79.2115040427, 43.7781008052]], ""type"": ""MultiPoint""}"
20,578,Bridlewood Park,Club,Yes,3,311,Bridlewood Tennis Club,http://www.bridlewoodtennis.ca,,445 Huntingwood Dr ,,"{""coordinates"": [[-79.3162401527, 43.7829182599]], ""type"": ""MultiPoint""}"
21,215,Broadlands Park,Club,Yes,4,416-707-5930,O'Connor Hills Tennis Club,http://www.oconnorhillstennis.com,,19  Castlegrove Blvd ,,"{""coordinates"": [[-79.321292499, 43.7459134839]], ""type"": ""MultiPoint""}"
22,813,Buttonwood Park,Public,Yes,3,311,,,,30  Mulham Pl ,,"{""coordinates"": [[-79.5208937116, 43.6820428693]], ""type"": ""MultiPoint""}"
23,16,Cassandra Park,Club,Yes,4,416-391-3962,Parkway Valley Tennis Club,http://www.pvtc.ca,,230  Cassandra Blvd ,,"{""coordinates"": [[-79.3183752092, 43.7547695052]], ""type"": ""MultiPoint""}"
24,629,Cedarvale Park,Public,Yes,4,311,,,,443  Arlington Ave ,,"{""coordinates"": [[-79.4293463982, 43.6920429866]], ""type"": ""MultiPoint""}"
25,632,Chalkfarm Park,Public,No,2,311,,,,2230 Jane St ,Yes,"{""coordinates"": [[-79.5153049996, 43.7251242398]], ""type"": ""MultiPoint""}"
26,2200,Champlain Parkette,Public,No,2,311,,,,50  Champlain Blvd. ,,"{""coordinates"": [[-79.4442690567, 43.7321364042]], ""type"": ""MultiPoint""}"
27,540,Charlottetown Park,Club,Yes,3,416-284-3575,Charlottetown Tennis Club,http://www.charlottetowntennis.com,,65  Charlottetown Blvd ,,"{""coordinates"": [[-79.1402378204, 43.7816672717]], ""type"": ""MultiPoint""}"
28,2307,Clairlea Park,Public,No,2,311,,,,45  Fairfax Cres ,,"{""coordinates"": [[-79.2876779339, 43.7142966616]], ""type"": ""MultiPoint""}"
29,493,Cliffwood Park,Public,No,3,311,,,,280  Cliffwood Rd ,,"{""coordinates"": [[-79.3550893956, 43.8084161039]], ""type"": ""MultiPoint""}"
30,935,Cloverdale Park,Public,Yes,3,311,,,,85  Shaver Ave S,Yes,"{""coordinates"": [[-79.5445523618, 43.6338484595]], ""type"": ""MultiPoint""}"
31,494,Clydesdale Park,Club,Yes,4,311,Pleasantview Tennis Club,http://www.pleasantviewtennis.com,,116  Clydesdale Dr ,,"{""coordinates"": [[-79.3294248222, 43.7832230865]], ""type"": ""MultiPoint""}"
32,220,Coleman Park,Public,No,2,311,,,,19 Coleman Ave ,,"{""coordinates"": [[-79.2998132901, 43.6893991992]], ""type"": ""MultiPoint""}"
33,2262,Confederation Park,Club,Yes,3,311,Centennial Tennis Club,,,250 Dolly Varden Blvd ,,"{""coordinates"": [[-79.2361470713, 43.7739195626]], ""type"": ""MultiPoint""}"
34,2568,Cosburn Park,Club,Yes,5,311,,,,115  Roosevelt Rd ,,"{""coordinates"": [[-79.3302786169, 43.6929471282]], ""type"": ""MultiPoint""}"
35,496,Cresthaven Park,Club,Yes,4,416-756-2929,Hillcrest Tennis Club,http://www.hillcresttennisclub.ca,,37  Cresthaven Dr ,,"{""coordinates"": [[-79.3632595734, 43.7989881401]], ""type"": ""MultiPoint""}"
36,941,Cummer Park,Public,Yes,4,416-395-6072,,,,823  Cummer Ave ,Yes,"{""coordinates"": [[-79.3718071461, 43.7996349111]], ""type"": ""MultiPoint""}"
