neighbourhood_id,neighbourhood,population,total_reported_courts,court_population_ratio,courts_per_10000
141,Golfdale-Cedarbrae-Woburn,27085,0,0,0
144,Morningside Heights,24940,0,0,0
147,L'Amoreaux West,21545,0,0,0
151,Yonge-Doris,20160,0,0,0
157,Bendale South,10725,0,0,0
159,Etobicoke City Centre,23600,0,0,0
161,Humber Bay Shores,22605,0,0,0
163,Fort York-Liberty Village,19915,0,0,0
164,Wellington Place,25570,0,0,0
165,Harbourfront-CityPlace,28135,0,0,0
166,St Lawrence-East Bayfront-The Islands,31285,0,0,0
167,Church-Wellesley,22320,0,0,0
168,Downtown Yonge East,17700,0,0,0
169,Bay-Cloverhill,16670,0,0,0
170,Yonge-Bay Corridor,12645,0,0,0
173,North Toronto,15885,0,0,0
